;YYMM;Région;Consommation;Thermique;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Balance
0;1301;AURA;14455649.0;565977.0;19264589.0;130835.0;27494.0;6070182.0;-612641.0;103065.0;11093852.0
1;1301;B;5055739.0;94521.0;0.0;235349.0;7645.0;112716.0;-8719.0;25014.0;-4589213.0
2;1301;BFC;4704866.0;487702.0;0.0;42601.0;4347.0;241036.0;-6.0;20181.0;-3909005.0
3;1301;CVDL;4418962.0;142685.0;15413978.0;243996.0;6996.0;47386.0;0.0;33722.0;11469801.0
4;1301;GE;9732409.0;3041047.0;14501127.0;550854.0;14825.0;1621295.0;-230275.0;87938.0;9854402.0
5;1301;HF;11056438.0;1655356.0;7314899.0;533164.0;2851.0;1486.0;0.0;103008.0;-1445674.0
6;1301;IDF;16826536.0;1511681.0;0.0;5861.0;1614.0;86.0;0.0;187515.0;-15119779.0
7;1301;N;6496893.0;1359372.0;14923798.0;172793.0;3332.0;28783.0;0.0;75817.0;10067002.0
8;1301;NlleA;9828102.0;378586.0;9591748.0;121825.0;47028.0;929447.0;0.0;202623.0;1443155.0
9;1301;O;8618360.0;153116.0;3698196.0;415368.0;68410.0;2409534.0;-353245.0;107533.0;-2119448.0
10;1301;PACA;9198006.0;1551131.0;0.0;24333.0;76094.0;2153863.0;-58.0;93777.0;-5298866.0
11;1301;PDL;6123395.0;1634777.0;0.0;150847.0;14908.0;2323.0;0.0;49781.0;-4270759.0
12;1302;AURA;13605248.0;475746.0;16616815.0;131009.0;41655.0;5598065.0;-443817.0;82818.0;8897043.0
13;1302;B;4638212.0;86293.0;0.0;245074.0;14435.0;94298.0;-7040.0;24885.0;-4180267.0
14;1302;BFC;4406255.0;420302.0;0.0;49090.0;10603.0;247337.0;0.0;18512.0;-3660411.0
15;1302;CVDL;4141006.0;116908.0;13980033.0;299844.0;14658.0;53641.0;0.0;32163.0;10356241.0
16;1302;GE;9179833.0;3744943.0;12169521.0;664312.0;28165.0;1410734.0;-178145.0;79225.0;8738922.0
17;1302;HF;10060859.0;1613401.0;5912332.0;566387.0;8029.0;1339.0;0.0;91135.0;-1868236.0
18;1302;IDF;15613449.0;1342749.0;0.0;6789.0;4251.0;8.0;0.0;173797.0;-14085855.0
19;1302;N;6028259.0;1363271.0;12634684.0;177160.0;7393.0;21810.0;0.0;70974.0;8247033.0
20;1302;NlleA;8963998.0;321708.0;8744393.0;139551.0;84816.0;1139804.0;0.0;185632.0;1651906.0
