Dates;Capa_nucleaire
01/01/2013 00:00;63010
01/01/2013 03:00;63010
01/01/2013 06:00;63010
01/01/2013 09:00;63010
01/01/2013 12:00;63010
01/01/2013 15:00;63010
01/01/2013 18:00;63010
01/01/2013 21:00;63010
02/01/2013 00:00;63010
02/01/2013 03:00;63010
02/01/2013 06:00;63010
02/01/2013 09:00;63010
02/01/2013 12:00;63010
02/01/2013 15:00;63010
02/01/2013 18:00;63010
02/01/2013 21:00;63010
03/01/2013 00:00;63010
03/01/2013 03:00;63010
03/01/2013 06:00;63010
03/01/2013 09:00;63010
03/01/2013 12:00;63010
03/01/2013 15:00;63010
03/01/2013 18:00;63010
03/01/2013 21:00;63010
04/01/2013 00:00;63010
04/01/2013 03:00;63010
04/01/2013 06:00;63010
04/01/2013 09:00;63010
04/01/2013 12:00;63010
04/01/2013 15:00;63010
04/01/2013 18:00;63010
04/01/2013 21:00;63010
05/01/2013 00:00;63010
05/01/2013 03:00;63010
05/01/2013 06:00;63010
05/01/2013 09:00;63010
05/01/2013 12:00;63010
05/01/2013 15:00;63010
05/01/2013 18:00;63010
05/01/2013 21:00;63010
06/01/2013 00:00;63010
06/01/2013 03:00;63010
06/01/2013 06:00;63010
06/01/2013 09:00;63010
06/01/2013 12:00;63010
06/01/2013 15:00;63010
06/01/2013 18:00;63010
06/01/2013 21:00;63010
07/01/2013 00:00;63010
07/01/2013 03:00;63010
07/01/2013 06:00;63010
07/01/2013 09:00;63010
07/01/2013 12:00;63010
07/01/2013 15:00;63010
07/01/2013 18:00;63010
07/01/2013 21:00;63010
08/01/2013 00:00;63010
08/01/2013 03:00;63010
08/01/2013 06:00;63010
08/01/2013 09:00;63010
08/01/2013 12:00;63010
08/01/2013 15:00;63010
08/01/2013 18:00;63010
08/01/2013 21:00;63010
09/01/2013 00:00;63010
09/01/2013 03:00;63010
09/01/2013 06:00;63010
09/01/2013 09:00;63010
09/01/2013 12:00;63010
09/01/2013 15:00;63010
09/01/2013 18:00;63010
09/01/2013 21:00;63010
10/01/2013 00:00;63010
10/01/2013 03:00;63010
10/01/2013 06:00;63010
10/01/2013 09:00;63010
10/01/2013 12:00;63010
10/01/2013 15:00;63010
10/01/2013 18:00;63010
10/01/2013 21:00;63010
11/01/2013 00:00;63010
11/01/2013 03:00;63010
11/01/2013 06:00;63010
11/01/2013 09:00;63010
11/01/2013 12:00;63010
11/01/2013 15:00;63010
11/01/2013 18:00;63010
11/01/2013 21:00;63010
12/01/2013 00:00;63010
12/01/2013 03:00;63010
12/01/2013 06:00;63010
12/01/2013 09:00;63010
12/01/2013 12:00;63010
12/01/2013 15:00;63010
12/01/2013 18:00;63010
12/01/2013 21:00;63010
13/01/2013 00:00;63010
13/01/2013 03:00;63010
13/01/2013 06:00;63010
13/01/2013 09:00;63010
13/01/2013 12:00;63010
13/01/2013 15:00;63010
13/01/2013 18:00;63010
13/01/2013 21:00;63010
14/01/2013 00:00;63010
14/01/2013 03:00;63010
14/01/2013 06:00;63010
14/01/2013 09:00;63010
14/01/2013 12:00;63010
14/01/2013 15:00;63010
14/01/2013 18:00;63010
14/01/2013 21:00;63010
15/01/2013 00:00;63010
15/01/2013 03:00;63010
15/01/2013 06:00;63010
15/01/2013 09:00;63010
15/01/2013 12:00;63010
15/01/2013 15:00;63010
15/01/2013 18:00;63010
15/01/2013 21:00;63010
16/01/2013 00:00;63010
16/01/2013 03:00;63010
16/01/2013 06:00;63010
16/01/2013 09:00;63010
16/01/2013 12:00;63010
16/01/2013 15:00;63010
16/01/2013 18:00;63010
16/01/2013 21:00;63010
17/01/2013 00:00;63010
17/01/2013 03:00;63010
17/01/2013 06:00;63010
17/01/2013 09:00;63010
17/01/2013 12:00;63010
17/01/2013 15:00;63010
17/01/2013 18:00;63010
17/01/2013 21:00;63010
18/01/2013 00:00;63010
18/01/2013 03:00;63010
18/01/2013 06:00;63010
18/01/2013 09:00;63010
18/01/2013 12:00;63010
18/01/2013 15:00;63010
18/01/2013 18:00;63010
18/01/2013 21:00;63010
19/01/2013 00:00;63010
19/01/2013 03:00;63010
19/01/2013 06:00;63010
19/01/2013 09:00;63010
19/01/2013 12:00;63010
19/01/2013 15:00;63010
19/01/2013 18:00;63010
19/01/2013 21:00;63010
20/01/2013 00:00;63010
20/01/2013 03:00;63010
20/01/2013 06:00;63010
20/01/2013 09:00;63010
20/01/2013 12:00;63010
20/01/2013 15:00;63010
20/01/2013 18:00;63010
20/01/2013 21:00;63010
21/01/2013 00:00;63010
21/01/2013 03:00;63010
21/01/2013 06:00;63010
21/01/2013 09:00;63010
21/01/2013 12:00;63010
21/01/2013 15:00;63010
21/01/2013 18:00;63010
21/01/2013 21:00;63010
22/01/2013 00:00;63010
22/01/2013 03:00;63010
22/01/2013 06:00;63010
22/01/2013 09:00;63010
22/01/2013 12:00;63010
22/01/2013 15:00;63010
22/01/2013 18:00;63010
22/01/2013 21:00;63010
23/01/2013 00:00;63010
23/01/2013 03:00;63010
23/01/2013 06:00;63010
23/01/2013 09:00;63010
23/01/2013 12:00;63010
23/01/2013 15:00;63010
23/01/2013 18:00;63010
23/01/2013 21:00;63010
24/01/2013 00:00;63010
24/01/2013 03:00;63010
24/01/2013 06:00;63010
24/01/2013 09:00;63010
24/01/2013 12:00;63010
24/01/2013 15:00;63010
24/01/2013 18:00;63010
24/01/2013 21:00;63010
25/01/2013 00:00;63010
25/01/2013 03:00;63010
25/01/2013 06:00;63010
25/01/2013 09:00;63010
25/01/2013 12:00;63010
25/01/2013 15:00;63010
25/01/2013 18:00;63010
25/01/2013 21:00;63010
26/01/2013 00:00;63010
26/01/2013 03:00;63010
26/01/2013 06:00;63010
26/01/2013 09:00;63010
26/01/2013 12:00;63010
26/01/2013 15:00;63010
26/01/2013 18:00;63010
26/01/2013 21:00;63010
27/01/2013 00:00;63010
27/01/2013 03:00;63010
27/01/2013 06:00;63010
27/01/2013 09:00;63010
27/01/2013 12:00;63010
27/01/2013 15:00;63010
27/01/2013 18:00;63010
27/01/2013 21:00;63010
28/01/2013 00:00;63010
28/01/2013 03:00;63010
28/01/2013 06:00;63010
28/01/2013 09:00;63010
28/01/2013 12:00;63010
28/01/2013 15:00;63010
28/01/2013 18:00;63010
28/01/2013 21:00;63010
29/01/2013 00:00;63010
29/01/2013 03:00;63010
29/01/2013 06:00;63010
29/01/2013 09:00;63010
29/01/2013 12:00;63010
29/01/2013 15:00;63010
29/01/2013 18:00;63010
29/01/2013 21:00;63010
30/01/2013 00:00;63010
30/01/2013 03:00;63010
30/01/2013 06:00;63010
30/01/2013 09:00;63010
30/01/2013 12:00;63010
30/01/2013 15:00;63010
30/01/2013 18:00;63010
30/01/2013 21:00;63010
31/01/2013 00:00;63010
31/01/2013 03:00;63010
31/01/2013 06:00;63010
31/01/2013 09:00;63010
31/01/2013 12:00;63010
31/01/2013 15:00;63010
31/01/2013 18:00;63010
31/01/2013 21:00;63010
01/02/2013 00:00;63010
01/02/2013 03:00;63010
01/02/2013 06:00;63010
01/02/2013 09:00;63010
01/02/2013 12:00;63010
01/02/2013 15:00;63010
01/02/2013 18:00;63010
01/02/2013 21:00;63010
02/02/2013 00:00;63010
02/02/2013 03:00;63010
02/02/2013 06:00;63010
02/02/2013 09:00;63010
02/02/2013 12:00;63010
02/02/2013 15:00;63010
02/02/2013 18:00;63010
02/02/2013 21:00;63010
03/02/2013 00:00;63010
03/02/2013 03:00;63010
03/02/2013 06:00;63010
03/02/2013 09:00;63010
03/02/2013 12:00;63010
03/02/2013 15:00;63010
03/02/2013 18:00;63010
03/02/2013 21:00;63010
04/02/2013 00:00;63010
04/02/2013 03:00;63010
04/02/2013 06:00;63010
04/02/2013 09:00;63010
04/02/2013 12:00;63010
04/02/2013 15:00;63010
04/02/2013 18:00;63010
04/02/2013 21:00;63010
05/02/2013 00:00;63010
05/02/2013 03:00;63010
05/02/2013 06:00;63010
05/02/2013 09:00;63010
05/02/2013 12:00;63010
05/02/2013 15:00;63010
05/02/2013 18:00;63010
05/02/2013 21:00;63010
06/02/2013 00:00;63010
06/02/2013 03:00;63010
06/02/2013 06:00;63010
06/02/2013 09:00;63010
06/02/2013 12:00;63010
06/02/2013 15:00;63010
06/02/2013 18:00;63010
06/02/2013 21:00;63010
07/02/2013 00:00;63010
07/02/2013 03:00;63010
07/02/2013 06:00;63010
07/02/2013 09:00;63010
07/02/2013 12:00;63010
07/02/2013 15:00;63010
07/02/2013 18:00;63010
07/02/2013 21:00;63010
08/02/2013 00:00;63010
08/02/2013 03:00;63010
08/02/2013 06:00;63010
08/02/2013 09:00;63010
08/02/2013 12:00;63010
08/02/2013 15:00;63010
08/02/2013 18:00;63010
08/02/2013 21:00;63010
09/02/2013 00:00;63010
09/02/2013 03:00;63010
09/02/2013 06:00;63010
09/02/2013 09:00;63010
09/02/2013 12:00;63010
09/02/2013 15:00;63010
09/02/2013 18:00;63010
09/02/2013 21:00;63010
10/02/2013 00:00;63010
10/02/2013 03:00;63010
10/02/2013 06:00;63010
10/02/2013 09:00;63010
10/02/2013 12:00;63010
10/02/2013 15:00;63010
10/02/2013 18:00;63010
10/02/2013 21:00;63010
11/02/2013 00:00;63010
11/02/2013 03:00;63010
11/02/2013 06:00;63010
11/02/2013 09:00;63010
11/02/2013 12:00;63010
11/02/2013 15:00;63010
11/02/2013 18:00;63010
11/02/2013 21:00;63010
12/02/2013 00:00;63010
12/02/2013 03:00;63010
12/02/2013 06:00;63010
12/02/2013 09:00;63010
12/02/2013 12:00;63010
12/02/2013 15:00;63010
12/02/2013 18:00;63010
12/02/2013 21:00;63010
13/02/2013 00:00;63010
13/02/2013 03:00;63010
13/02/2013 06:00;63010
13/02/2013 09:00;63010
