Dates;Capa_thermique
01/01/2013 00:00;6698
01/01/2013 03:00;6698
01/01/2013 06:00;6698
01/01/2013 09:00;6698
01/01/2013 12:00;6698
01/01/2013 15:00;6698
01/01/2013 18:00;6698
01/01/2013 21:00;6698
02/01/2013 00:00;6698
02/01/2013 03:00;6698
02/01/2013 06:00;6698
02/01/2013 09:00;6698
02/01/2013 12:00;6698
02/01/2013 15:00;6698
02/01/2013 18:00;6698
02/01/2013 21:00;6698
03/01/2013 00:00;6698
03/01/2013 03:00;6698
03/01/2013 06:00;6698
03/01/2013 09:00;6698
03/01/2013 12:00;6698
03/01/2013 15:00;6698
03/01/2013 18:00;6698
03/01/2013 21:00;6698
04/01/2013 00:00;6698
04/01/2013 03:00;6698
04/01/2013 06:00;6698
04/01/2013 09:00;6698
04/01/2013 12:00;6698
04/01/2013 15:00;6698
04/01/2013 18:00;6698
04/01/2013 21:00;6698
05/01/2013 00:00;6698
05/01/2013 03:00;6698
05/01/2013 06:00;6698
05/01/2013 09:00;6698
05/01/2013 12:00;6698
05/01/2013 15:00;6698
05/01/2013 18:00;6698
05/01/2013 21:00;6698
06/01/2013 00:00;6698
06/01/2013 03:00;6698
06/01/2013 06:00;6698
06/01/2013 09:00;6698
06/01/2013 12:00;6698
06/01/2013 15:00;6698
06/01/2013 18:00;6698
06/01/2013 21:00;6698
07/01/2013 00:00;6698
07/01/2013 03:00;6698
07/01/2013 06:00;6698
07/01/2013 09:00;6698
07/01/2013 12:00;6698
07/01/2013 15:00;6698
07/01/2013 18:00;6698
07/01/2013 21:00;6698
08/01/2013 00:00;6698
08/01/2013 03:00;6698
08/01/2013 06:00;6698
08/01/2013 09:00;6698
08/01/2013 12:00;6698
08/01/2013 15:00;6698
08/01/2013 18:00;6698
08/01/2013 21:00;6698
09/01/2013 00:00;6698
09/01/2013 03:00;6698
09/01/2013 06:00;6698
09/01/2013 09:00;6698
09/01/2013 12:00;6698
09/01/2013 15:00;6698
09/01/2013 18:00;6698
09/01/2013 21:00;6698
10/01/2013 00:00;6698
10/01/2013 03:00;6698
10/01/2013 06:00;6698
10/01/2013 09:00;6698
10/01/2013 12:00;6698
10/01/2013 15:00;6698
10/01/2013 18:00;6698
10/01/2013 21:00;6698
11/01/2013 00:00;6698
11/01/2013 03:00;6698
11/01/2013 06:00;6698
11/01/2013 09:00;6698
11/01/2013 12:00;6698
11/01/2013 15:00;6698
11/01/2013 18:00;6698
11/01/2013 21:00;6698
12/01/2013 00:00;6698
12/01/2013 03:00;6698
12/01/2013 06:00;6698
12/01/2013 09:00;6698
12/01/2013 12:00;6698
12/01/2013 15:00;6698
12/01/2013 18:00;6698
12/01/2013 21:00;6698
13/01/2013 00:00;6698
13/01/2013 03:00;6698
13/01/2013 06:00;6698
13/01/2013 09:00;6698
13/01/2013 12:00;6698
13/01/2013 15:00;6698
13/01/2013 18:00;6698
13/01/2013 21:00;6698
14/01/2013 00:00;6698
14/01/2013 03:00;6698
14/01/2013 06:00;6698
14/01/2013 09:00;6698
14/01/2013 12:00;6698
14/01/2013 15:00;6698
14/01/2013 18:00;6698
14/01/2013 21:00;6698
15/01/2013 00:00;6698
15/01/2013 03:00;6698
15/01/2013 06:00;6698
15/01/2013 09:00;6698
15/01/2013 12:00;6698
15/01/2013 15:00;6698
15/01/2013 18:00;6698
15/01/2013 21:00;6698
16/01/2013 00:00;6698
16/01/2013 03:00;6698
16/01/2013 06:00;6698
16/01/2013 09:00;6698
16/01/2013 12:00;6698
16/01/2013 15:00;6698
16/01/2013 18:00;6698
16/01/2013 21:00;6698
17/01/2013 00:00;6698
17/01/2013 03:00;6698
17/01/2013 06:00;6698
17/01/2013 09:00;6698
17/01/2013 12:00;6698
17/01/2013 15:00;6698
17/01/2013 18:00;6698
17/01/2013 21:00;6698
18/01/2013 00:00;6698
18/01/2013 03:00;6698
18/01/2013 06:00;6698
18/01/2013 09:00;6698
18/01/2013 12:00;6698
18/01/2013 15:00;6698
18/01/2013 18:00;6698
18/01/2013 21:00;6698
19/01/2013 00:00;6698
19/01/2013 03:00;6698
19/01/2013 06:00;6698
19/01/2013 09:00;6698
19/01/2013 12:00;6698
19/01/2013 15:00;6698
19/01/2013 18:00;6698
19/01/2013 21:00;6698
20/01/2013 00:00;6698
20/01/2013 03:00;6698
20/01/2013 06:00;6698
20/01/2013 09:00;6698
20/01/2013 12:00;6698
20/01/2013 15:00;6698
20/01/2013 18:00;6698
20/01/2013 21:00;6698
21/01/2013 00:00;6698
21/01/2013 03:00;6698
21/01/2013 06:00;6698
21/01/2013 09:00;6698
21/01/2013 12:00;6698
21/01/2013 15:00;6698
21/01/2013 18:00;6698
21/01/2013 21:00;6698
22/01/2013 00:00;6698
22/01/2013 03:00;6698
22/01/2013 06:00;6698
22/01/2013 09:00;6698
22/01/2013 12:00;6698
22/01/2013 15:00;6698
22/01/2013 18:00;6698
22/01/2013 21:00;6698
23/01/2013 00:00;6698
23/01/2013 03:00;6698
23/01/2013 06:00;6698
23/01/2013 09:00;6698
23/01/2013 12:00;6698
23/01/2013 15:00;6698
23/01/2013 18:00;6698
23/01/2013 21:00;6698
24/01/2013 00:00;6698
24/01/2013 03:00;6698
24/01/2013 06:00;6698
24/01/2013 09:00;6698
24/01/2013 12:00;6698
24/01/2013 15:00;6698
24/01/2013 18:00;6698
24/01/2013 21:00;6698
25/01/2013 00:00;6698
25/01/2013 03:00;6698
25/01/2013 06:00;6698
25/01/2013 09:00;6698
25/01/2013 12:00;6698
25/01/2013 15:00;6698
25/01/2013 18:00;6698
25/01/2013 21:00;6698
26/01/2013 00:00;6698
26/01/2013 03:00;6698
26/01/2013 06:00;6698
26/01/2013 09:00;6698
26/01/2013 12:00;6698
26/01/2013 15:00;6698
26/01/2013 18:00;6698
26/01/2013 21:00;6698
27/01/2013 00:00;6698
27/01/2013 03:00;6698
27/01/2013 06:00;6698
27/01/2013 09:00;6698
27/01/2013 12:00;6698
27/01/2013 15:00;6698
27/01/2013 18:00;6698
27/01/2013 21:00;6698
28/01/2013 00:00;6698
28/01/2013 03:00;6698
28/01/2013 06:00;6698
28/01/2013 09:00;6698
28/01/2013 12:00;6698
28/01/2013 15:00;6698
28/01/2013 18:00;6698
28/01/2013 21:00;6698
29/01/2013 00:00;6698
29/01/2013 03:00;6698
29/01/2013 06:00;6698
29/01/2013 09:00;6698
29/01/2013 12:00;6698
29/01/2013 15:00;6698
29/01/2013 18:00;6698
29/01/2013 21:00;6698
30/01/2013 00:00;6698
30/01/2013 03:00;6698
30/01/2013 06:00;6698
30/01/2013 09:00;6698
30/01/2013 12:00;6698
30/01/2013 15:00;6698
30/01/2013 18:00;6698
30/01/2013 21:00;6698
31/01/2013 00:00;6698
31/01/2013 03:00;6698
31/01/2013 06:00;6698
31/01/2013 09:00;6698
31/01/2013 12:00;6698
31/01/2013 15:00;6698
31/01/2013 18:00;6698
31/01/2013 21:00;6698
01/02/2013 00:00;6698
01/02/2013 03:00;6698
01/02/2013 06:00;6698
01/02/2013 09:00;6698
01/02/2013 12:00;6698
01/02/2013 15:00;6698
01/02/2013 18:00;6698
01/02/2013 21:00;6698
02/02/2013 00:00;6698
02/02/2013 03:00;6698
02/02/2013 06:00;6698
02/02/2013 09:00;6698
02/02/2013 12:00;6698
02/02/2013 15:00;6698
02/02/2013 18:00;6698
02/02/2013 21:00;6698
03/02/2013 00:00;6698
03/02/2013 03:00;6698
03/02/2013 06:00;6698
03/02/2013 09:00;6698
03/02/2013 12:00;6698
03/02/2013 15:00;6698
03/02/2013 18:00;6698
03/02/2013 21:00;6698
04/02/2013 00:00;6698
04/02/2013 03:00;6698
04/02/2013 06:00;6698
04/02/2013 09:00;6698
04/02/2013 12:00;6698
04/02/2013 15:00;6698
04/02/2013 18:00;6698
04/02/2013 21:00;6698
05/02/2013 00:00;6698
05/02/2013 03:00;6698
05/02/2013 06:00;6698
05/02/2013 09:00;6698
05/02/2013 12:00;6698
05/02/2013 15:00;6698
05/02/2013 18:00;6698
05/02/2013 21:00;6698
06/02/2013 00:00;6698
06/02/2013 03:00;6698
06/02/2013 06:00;6698
06/02/2013 09:00;6698
06/02/2013 12:00;6698
06/02/2013 15:00;6698
06/02/2013 18:00;6698
06/02/2013 21:00;6698
07/02/2013 00:00;6698
07/02/2013 03:00;6698
07/02/2013 06:00;6698
07/02/2013 09:00;6698
07/02/2013 12:00;6698
07/02/2013 15:00;6698
07/02/2013 18:00;6698
07/02/2013 21:00;6698
08/02/2013 00:00;6698
08/02/2013 03:00;6698
08/02/2013 06:00;6698
08/02/2013 09:00;6698
08/02/2013 12:00;6698
08/02/2013 15:00;6698
08/02/2013 18:00;6698
08/02/2013 21:00;6698
09/02/2013 00:00;6698
09/02/2013 03:00;6698
09/02/2013 06:00;6698
09/02/2013 09:00;6698
09/02/2013 12:00;6698
09/02/2013 15:00;6698
09/02/2013 18:00;6698
09/02/2013 21:00;6698
10/02/2013 00:00;6698
10/02/2013 03:00;6698
10/02/2013 06:00;6698
10/02/2013 09:00;6698
10/02/2013 12:00;6698
10/02/2013 15:00;6698
10/02/2013 18:00;6698
10/02/2013 21:00;6698
11/02/2013 00:00;6698
11/02/2013 03:00;6698
11/02/2013 06:00;6698
11/02/2013 09:00;6698
11/02/2013 12:00;6698
11/02/2013 15:00;6698
11/02/2013 18:00;6698
11/02/2013 21:00;6698
12/02/2013 00:00;6698
12/02/2013 03:00;6698
12/02/2013 06:00;6698
12/02/2013 09:00;6698
12/02/2013 12:00;6698
12/02/2013 15:00;6698
12/02/2013 18:00;6698
12/02/2013 21:00;6698
13/02/2013 00:00;6698
13/02/2013 03:00;6698
13/02/2013 06:00;6698
13/02/2013 09:00;6698
13/02/2013 12:00;6698
13/02/2013 15:00;6698
13/02/2013 18:00;6698
13/02/2013 21:00;6698
14/02/2013 00:00;6698
14/02/2013 03:00;6698
14/02/2013 06:00;6698
14/02/2013 09:00;6698
14/02/2013 12:00;6698
14/02/2013 15:00;6698
14/02/2013 18:00;6698
14/02/2013 21:00;6698
15/02/2013 00:00;6698
15/02/2013 03:00;6698
15/02/2013 06:00;6698
15/02/2013 09:00;6698
15/02/2013 12:00;6698
15/02/2013 15:00;6698
15/02/2013 18:00;6698
15/02/2013 21:00;6698
16/02/2013 00:00;6698
