Departement;Regions
1;AURA
2;HF
3;AURA
4;PACA
5;PACA
6;PACA
7;AURA
8;GE
9;O
10;GE
11;O
12;O
13;PACA
14;N
15;AURA
16;NlleA
17;NlleA
18;CVDL
19;NlleA
21;BFC
22;B
23;NlleA
24;NlleA
25;BFC
26;AURA
27;N
28;CVDL
29;B
30;O
31;O
32;O
33;NlleA
34;O
35;B
36;CVDL
37;CVDL
38;AURA
39;BFC
40;NlleA
41;CVDL
42;AURA
43;AURA
44;PDL
45;CVDL
46;O
47;NlleA
48;O
49;PDL
50;N
51;GE
52;GE
53;PDL
54;GE
55;GE
56;B
57;GE
58;BFC
59;HF
60;HF
61;N
62;HF
63;AURA
64;NlleA
65;O
66;O
67;GE
68;GE
69;AURA
70;BFC
71;BFC
72;PDL
73;AURA
74;AURA
75;IDF
76;N
77;IDF
78;IDF
79;NlleA
80;HF
81;O
82;O
83;PACA
84;PACA
85;PDL
86;NlleA
87;NlleA
88;GE
89;BFC
90;BFC
91;IDF
92;IDF
93;IDF
94;IDF
95;IDF
